Year,MNO,RFNSA ID,Latitude,Longitude,NBIoT700,LTE700,LTE900,LTE1800,LTE2100,LTE2600,NR700,NR900,NR2100,NR3600
2025,Optus-TPG MOCN,2381003,-31.34534048,149.8294425,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2381007,-31.11583,150.25702,Y,Y,Y,,,,,,,
2025,Optus-TPG MOCN,2382001,-30.703347,150.038981,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2386003,-30.109858,148.973579,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2388003,-30.228184,149.430727,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2388004,-30.351169,148.879951,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2390001,-30.32749,149.79295,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
2025,Optus-TPG MOCN,2390002,-30.803059,149.484325,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2390003,-30.50701753,149.6307764,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2390004,-30.284492,150.167556,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2390005,-30.347048,149.764691,Y,Y,Y,Y,Y,,,,,
2025,Optus-TPG MOCN,2390010,-30.586838,149.966849,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2395002,-31.5508862,149.3900241,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2396002,-30.952275,149.074578,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2397001,-29.955919,149.915335,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2399002,-29.472034,150.143057,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2400001,-29.46366,149.84408,Y,Y,Y,Y,,Y,,,,
2025,Optus-TPG MOCN,2400006,-29.808447,150.276836,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2400007,-28.968349,150.064784,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2400013,-29.308962,149.803667,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2400019,-29.496688,149.853163,Y,Y,,Y,,,,,,
2025,Optus-TPG MOCN,2401002,-29.5583974,150.3062612,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2402002,-29.49681,150.581183,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2403002,-29.65270373,150.8341792,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2404002,-29.871245,150.5918703,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2405002,-29.065407,149.633006,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2406001,-28.993318,149.016364,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2409001,-28.626546,150.369864,Y,Y,Y,Y,Y,,,,,
2025,Optus-TPG MOCN,2415001,-32.32805,151.95901,Y,Y,,,,Y,,,,
2025,Optus-TPG MOCN,2420003,-32.39501754,151.7851077,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2420007,-32.5371,151.6516,Y,Y,,,,Y,,,,
2025,Optus-TPG MOCN,2422003,-31.995471,151.976273,Y,Y,Y,Y,Y,,,,,
2025,Optus-TPG MOCN,2423001,-32.38619,152.433938,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2423002,-32.401328,152.21975,Y,Y,,Y,Y,,,,,
2025,Optus-TPG MOCN,2423003,-32.375316,152.303166,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2423004,-32.21698503,152.3031278,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2423005,-32.517618,152.18463,Y,Y,Y,Y,Y,Y,,,,
2025,Optus-TPG MOCN,2423007,-32.25776,152.1205,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2423012,-32.47629,152.19338,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2424001,-31.922162,152.182008,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2425001,-32.41721,151.97289,Y,Y,Y,,,,,,,
2025,Optus-TPG MOCN,2426007,-32.231658,152.448691,Y,Y,,,,Y,,,,
2025,Optus-TPG MOCN,2427002,-31.873567,152.665202,Y,Y,,Y,,Y,,,,
2025,Optus-TPG MOCN,2428001,-32.336382,152.525366,Y,Y,,Y,,,,,,
2025,Optus-TPG MOCN,2428002,-32.193818,152.525652,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
2025,Optus-TPG MOCN,2428003,-32.16425,152.491726,Y,Y,,Y,,Y,,,,
2025,Optus-TPG MOCN,2428004,-32.377806,152.501852,Y,Y,,Y,,Y,,,,
2025,Optus-TPG MOCN,2428005,-32.180338,152.512111,Y,Y,Y,Y,Y,Y,Y,Y,Y,
2025,Optus-TPG MOCN,2428009,-32.21006,152.52931,Y,Y,,,,Y,,,,
2025,Optus-TPG MOCN,2428011,-32.0921,152.48281,Y,Y,,,,Y,,,,
